"PropId","Name","Price","Rate","property","carpet.area","status","floor","transaction","facing","overlooking","ownership","parking","bathroom","balcony","city","location","Rate_per_sqft","bedroom","carpet_area_sqft","total_area"
"1","4 BHK Flat for Sale in Vasant Vihar, New Delhi",85000000,"₹21250 per sqft ","Parnami Infra","3000 sqft","Ready to Move","2 out of 4","Resale","North - East","Garden/Park","Freehold","2 Covered,",5,3,"Delhi"," Vasant Vihar",21250,4,3000,4000
"2","4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",26500000,"₹9815 per sqft ","Dolphin Real Estates","1500 sqft","Ready to Move","Ground out of 4","New Property","North - West","Main Road","Freehold","1 Covered",4,3,"Gurgaon"," Sushant Lok-I",9815,4,1500,2699.94905756495
"3","3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",29500000,"₹15245 per sqft ","The Unique Realty","144 sqyrd","Ready to Move","1 out of 4","New Property","North","Garden/Park, Main Road","Freehold","1 Covered,",3,2,"Gurgaon"," DLF City Phase 2",15245,3,144,1935.06067563135
"4","3 BHK Flat for Sale in Rohini Sector 24, New Delhi",12100000,"₹10083 per sqft ","Iconic Realty","1100 sqft","Ready to Move","1 out of 4","New Property","North - East","Garden/Park","Freehold","1 Covered,",2,1,"Delhi"," Rohini Sector 24",10083,3,1100,1200.03967073292
"5","3 BHK Flat for Sale in Rohini Sector 8, New Delhi",25000000,"₹31250 per sqft ","Synergy Real Estates","750 sqft","Ready to Move","2 out of 4","New Property","East","Garden/Park","Leasehold","1 Covered",3,1,"Delhi"," Rohini Sector 8",31250,3,750,800
"6","3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",12700000,"₹8063 per sqft ","Essbee Realtors","991 sqft","Poss. by Dec '23","6 out of 26","New Property","North","Garden/Park, Main Road","Freehold","1 Covered",3,4,"Noida"," CRC Joyous",8063,3,991,1575.0961180702
"7","3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",13500000,"₹8671 per sqft ","Investors Home","1100 sqft","Poss. by Sep '23","3 out of 3","New Property","South","Main Road","Freehold","2 Covered,",3,3,"Gurgaon"," Godrej Nature Plus",8671,3,1100,1556.91385076692
"8","4 BHK Flat for Sale in Luxury Builder Floors, Sushant Lok-I, Sector 43, Gurgaon",35000000,"₹12963 per sqft ","Temple Homes Pvt. Ltd.","2200 sqft","Ready to Move","2 out of 4","New Property","North","Garden/Park, Pool","Freehold","4 Covered",4,4,"Gurgaon"," Luxury Builder Floors",12963,4,2200,2699.99228573633
"9","5 BHK Flat for Sale in Experion Windchants, Dwarka Expressway, Gurgaon",87500000,"₹10276 per sqft ","Shanti Property","3200 sqft","Ready to Move","25 out of 25","Resale","West","Pool, Garden/Park, Main Road","Freehold","3 Covered,",6,6,"Gurgaon"," Experion Windchants",10276,5,3200,8514.9863760218
"10","4 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",54900000,"₹15250 per sqft ","Makaan Search Realty","2700 sqft","Ready to Move","1 out of 4","New Property","North - East","Garden/Park","Freehold","2 Covered",5,2,"Gurgaon"," DLF City Plot Phase 1",15250,4,2700,3600
"11","4 BHK Flat for Sale in Uppal Southend, Sector 49, Sohna Road, Gurgaon",19900000,"₹6633 per sqft ","Worth It Realtors","5600 sqft","Ready to Move","4 out of 4","New Property","North","Garden/Park","Freehold","3 Covered",4,2,"Gurgaon"," Uppal Southend",6633,4,5600,3000.15076134479
"12","4 BHK Flat for Sale in Pioneer Presidia, Golf course Extension Road, Gurgaon",71500000,"₹16486 per sqft ","Miglani Realtors ","1900 sqft","Ready to Move","7 out of 21","Resale","East","Main Road","Freehold","2 Covered,",3,3,"Gurgaon"," Pioneer Presidia",16486,4,1900,4337.01322334102
